notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
4/13/2020,Temporary Plant Layoff,Wonton Food Inc.,"220-222 Moore Street Brooklyn, NY 11206",(929) 337-1010,Restaurant,-----,-----,4/12/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/13/2020,Temporary Plant Layoff,Wonton Food Inc.,"235 Express Street Plainview, NY 11803",(929) 337-1010,Restaurant,-----,-----,4/12/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/9/2020,Temporary Plant Layoff,VSP Global,"48 W. 37th Street New York, NY 10018",(631) 629-3277,Ophthalmologist/Optician,-----,-----,4/10/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/9/2020,Temporary Plant Layoff,VSP Global,"201 Old County Road Melville, NY 11747",(631) 629-3277,Ophthalmologist,176,-----,4/10/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,Juicerie IV LLC dba The Butcher's Daughter,"271 Metropolitan Avenue Brooklyn, NY 11211",(619) 851-8453,Restaurant,42,-----,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/1/2020,Temporary Plant Layoff,"PrimeFlight Aviation Services, Inc.","LaGuardia International Airport Queens, NY 11371",(281) 942-6800,Airport Services,195,772,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,SEIU 32BJ,Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"Queens Center Mall, 90-15 Queens Blvd. Elmhurst, NY 11373",4167891071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"1004 Green Acres Mall, Unit #44 Valley Stream, NY 11581",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"2512 Palisades Center Drive, Unit #B206 West Nyack, NY 10994",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"Walden Galleria, One Walden Galleria, Unit D108 Buffalo, NY 14225",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"One Crossgates Mall Road (Unit # P-201) Albany, NY 12203",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"8555 Seneca Tpke. (Unit #L09) New Hartford, NY 13413",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"1 Destiny USA Dr., Unit #A206 Syracuse, NY 13204",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M Administration LLC dba Charlotte Russe,"21182 Salmon Run Mall Loop West, Unit #D106 Watertown, NY 13601",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Layoff,North American Dental Group,"3500 Sheridan Drive Amherst, NY 14226",(724) 698-2641,Dentist,-----,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,North American Dental Group,"1075 Central Park Avenue, Suite 207 Scarsdale, NY 10583",(724) 698-2641,Dentist,-----,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,North American Dental Group,"355 W Morris Street, Suite 105 Bath, NY 14810",(724) 698-2641,Dentist,-----,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,North American Dental Group,"64 Elizabeth Blackwell Street Geneva, NY 14456",(724) 698-2641,Dentist,-----,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,Paper Source,"87 7th Avenue Brooklyn, NY 11217",(312) 505-7214,Paper Retailer,163,-----,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,Paper Source,"9119 Fashion Dr. Nanuet, NY 10954",(312) 505-7214,Paper Retailer,21,-----,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,Paper Source,"924 Old Country Road Garden City, NY 11530",(312) 505-7214,Paper Retailer,9,-----,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/29/2020,Temporary Plant Closing,Major Food Group (MFG) - Parm Battery Park LLC,"250 Vesey St. New York, NY 10080",(404) 804-9274,Restaurant,52,52,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/9/2020,Temporary Plant Layoff,"Slocum Dickson Medical Group, PLLC","1729 Burrstone Road New Hartford, NY 13413",(315) 624-1962,Medical Facility,23,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Closing,Guitar Center Inc.,"218 West 44th Street New York, NY 10036",(310) 740-3793,Musical Instrument Sales,154,154,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,"Retail, Wholesale and Department Store Union",Temporary Plant Closing
4/9/2020,Temporary Plant Layoff,"Allied New York Services, Inc.","JFK International Airport, Building 90 Jamaica, NY 11430",(718) 995-0114,Aviation consultant,226,-----,4/10/2020,Unforeseeable business circumstances prompted by COVID-19,International Brotherhood of Teamsters (IBT) Local 553,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,Buca Restaurants. Inc. dba Buca di Beppo,"44 Wolf Road Colonie, NY 12205",(407) 284-1897,Restaurant,35,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,Townsend Leather Company,"4 Grove Street Johnstown, NY 12095",(518) 762-2764 Ext,Leather Wholesaler,61,160,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,"Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","424 Columbus Avenue New York, NY 10024",(212) 777-1239,Retail,62,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,"Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","630 Old Country Road Garden City, NY 11530",(212) 777-1239,Retail,(62,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,"Button, Inc.","88 Pine Street New York, NY 10005",(212) 510-7636,Software Company,44,-----,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Closing,The Marlow Collective dba Diner,"85 Broadway Brooklyn, NY 11249",(718) 486-7091,Restaurant,25,25,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,The Marlow Collective dba Marlow & Sons,"81 Broadway Brooklyn, NY 11249",(718) 486-7091,Restaurant,26,26,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,"The Marlow Collective, 243 Dekalb Ave. Rest. Corp. dba Roman's","243 Dekalb Avenue Brooklyn, NY 11205",(718) 486-7091,Restaurant,27,27,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/29/2020,Temporary Plant Closing,Major Food Group (MFG)  Parm Upper West LLC,"235 Columbus Ave. New York, NY 10023",(404) 804-9274,Restaurant,48,48,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/2/2020,Plant Layoff,Hassett Lincoln Merc Sales Inc.,"3530 Sunrise Hwy. Wantagh, NY 11793",(516) 785-7800 Ext,Auto Dealership,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,United Service Workers,Plant Layoff
3/30/2020,Temporary Plant Layoff,The Marlow Collective dba Achilles Heel,"180 West Street Brooklyn, NY 11222",(718) 486-7091,Restaurant,14,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Layoff,"Tourneau, LLC","3100 47th Avenue, 5th Floor Long Island City, NY 11101",-----,Retail,49,-----,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"Dolomite Products Co., Inc.","1260 Jefferson Road Rochester, NY 14623",(585) 348-9938,Asphalt Contractor,5,-----,4/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,"Venture Forthe, Inc.","3343 Harlem Road Cheektowaga, NY 14225",(716) 285-8070 Ext,Home Health Care,3,-----,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,"Venture Forthe, Inc.","208 S Walnut Street Elmira, NY 14904",(716) 285-8070 Ext,Home Health Care,2,-----,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/10/2020,Temporary Plant Closing,"Marriott Hotel Services, Inc. dba Long Island Marriott Hotel and Conference Center (Uniondale)","101 James Doolittle Blvd. Uniondale, NY 11553",(516) 229-5031,Hotel,211,211,4/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/29/2020,Temporary Plant Closing,Major Food Group (MFG) Highline Restaurant LLC,"820 Washington Street New York, NY 10014",-----,Restaurant,73,73,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/22/2020,Temporary Plant Layoff,"OTG JFK T5 Venture, LLC","JFK International Airport T5 Jamaica, NY 11430",(267) 273-5521,Restaurant,554,-----,362 employees will be separated on 3/16/2020. An additional 192 employees will be separated during the week of 4/12/2020.,Unforeseeable business circumstances prompted by COVID-19,"Laundry, Distribution and Food Services Joint Board",Temporary Plant Layoff
4/2/2020,Temporary Plant Closing,New York Friendly's Restaurant -  Horseheads,"2669 Corning Road Horseheads, NY 14845",(413) 731-4198,Restaurant,32,32,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
4/3/2020,Temporary Plant Layoff,"Refresh Club, Inc. dba The Wing","137 2nd Avenue New York, NY 10003",(203) 577-9520,Community Working Space,113,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
3/3/2020,Temporary Plant Layoff,Olga Street Ltd. dba Lucky Strike,"59 Grand Street New York, NY 10012",(917) 939-9977,Restaurant,26,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,Temporary Plant Layoff,Trump International Hotel & Tower Condominium dba,"Trump International Hotel & Tower New York One Central Park West New York, NY 10023",(212) 299-1000,Hotel,70,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO and the Union of Operating Engineers",Temporary Plant Layoff
3/24/2020,Temporary Plant Closing,The Mark Hotel,"25 E 77th Street New York, NY 10075",(212) 606-4531,Hotel,154,154,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/30/2020,Temporary Plant Closing,The Penn Club of New York,"30 West 44th Street New York, NY 10036",(203) 948-7431,Hotel,60,60,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
4/3/2020,Temporary Plant Closing,"TG 29 Hospitality, LLC dba Royalton Park Avenue","420 Park Avenue South New York, NY 10016",(212) 776-9220,Restaurant,73,73,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/6/2020,Plant Closing,"The August Aichhorn Center for Adolescent Residential Care, Inc. (2 Locations)","23 West 106th Street New York, NY 10025",(212) 316-9353,Adolescent Care,141,141,5/1/2020,Economic,The employees are not represented by a union.,Plant Closing
3/30/2020,Temporary Plant Closing,1 Hotel Central Park,"1414 Avenue of the Americas New York, NY 10019",(212) 703-2004,Hotel,146,146,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,New York Hotel & Motel Trades Council AFL-CIO and UNITE HERE,Temporary Plant Closing
4/6/2020,Temporary Plant Layoff,"Karla Otto, Inc.","475 10th Avenue, 4th Floor New York, NY 10018",(212) 255-8588,Public relations,28,-----,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,Residence Inn -  Courtyard by Marriott Central Park Hotel,"1717 Broadway New York, NY 10019",(212) 380-5055,Hotel,158,158,3/13/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
4/6/2020,Temporary Plant Layoff,"Nederlander Productions, Inc.","1501 Broadway, 14th Floor New York, NY 10036",(212) 840-5577,Theatre Company,12,-----,4/5/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,Temporary Plant Closing,Crafted Hospitality (3 NYC locations),"43 East 19th Street New York, NY 10003",(212) 400-6697,Restaurant,-----,-----,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/6/2020,Temporary Plant Closing,Crafted Hospitality,"630 Old Country Road Garden City, NY 11530",(212) 400-6697,Restaurant,-----,-----,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,Reading International dba Angelika Theatre,"18 West Houston St. New York, NY 10012",(213) 235-2254,Movie Theater,34,-----,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/8/2020,Temporary Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor New York, NY 10017",(203) 905-5216,Employment Agency,84,84,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Closing,Christopher's Restaurant Inc.,"dba Comfort Inn and Suites, Eclipse Fitness and Spa, Perkins, Plattsburgh Brewing Company, Champ's Fun City 411 Route 3 Plattsburgh, NY 12901",(518) 562-2730 Ext,Hotel,131,131,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/3/2020,Temporary PlantClosing,Weisman Enterprises LLC (4 locations),"218-01 Merrick Blvd. Springfield Gardens, NY 11413",(516) 491-7037,Accounting and Financial Services,78,-----,3/25/2020,Economic,The employees are not represented by a union,Temporary Plant Closing
4/3/2020,Temporary Plant Layoff,China Management LLC (2 locations),"1350 Avenue of the Americas, Suite 710 New York, NY 10019",(212) 776-9220,Restaurant,57,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Closing,Village East and City Cinemas 123 Theatres (2 Locations),"181-189 2nd Street New York, NY 10003",(213) 235-2254,Movie Theater,55,55,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Wilbedone dba Stone Central (2 locations),"1 General Motors Drive Syracuse, NY 13206",(315) 215-1721,Countertop Sales,60,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/8/2020,Temporary Plant Layoff,Security Dodge Chrysler Jeep Ram,"345 Merrick Road Amityville, NY 11701",(631) 691-5000 Ext,Car dealership,85,85,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/29/2020,Temporary Plant Closing,"Bufkin Enterprises, Ltd.","68 Lombardy Street Brooklyn, NY 11222",(718) 388-6476,Custom fabricator of architectural metal,12,12,3/29/2020 and 4/7/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/9/2020,Temporary Plant Layoff,Bayside CJ LLC,"212-19 Northern Blvd Bayside, NY 11361",(718) 229-8700,Auto Dealership,65,-----,"3/19/2020, 3/20/2020, 3/21/2020, and 3/22/2020",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Closing,Metro Chrysler Plymouth Inc. dba Star Chrysler Dodge Jeep Ram SRT Fiat,"211-10 Jamaica Ave. Queens Village, NY 11429",(917) 682-2979,Auto dealership,55,55,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/6/2020,Temporary Plant Layoff,"Gabriel's Collision Long Island City, Inc. dba Gotham City Collision","11-30 44th Road Long Island City, NY 11101",(718) 433-4465,Auto Body Shop,29,29,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,Temporary Plant Layoff,Gotham City Collision Corp.,"64-10 Maurice Avenue Maspeth, NY 11378",(347) 947-6542,Auto Body Shop,21,21,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Layoff,Crestline Hotels & Resorts dba Courtyard Syracuse Downtown at Armory Square and Residence Inn Syracuse Downtown,"300 West Fayette Street Syracuse, NY 13202",(571) 529-6362,Hotel,36,36,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"STAT Fire Sprinkler, Inc.","889 South 2nd Street Ronkonkoma, NY 11779",(917) 703-1904,Fire Prevention/Sprinkler Services,52,-----,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
3/25/2020,Temporary Plant Layoff,Rai Rai Ken Corporation dba Rai Rai Ken,"1467 Amsterdam Avenue New York, NY 10027",(212) 228-3030,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/25/2020,Temporary Plant Closing,Lucky Riceburger Ltd. dba Curry-Ya,"746 9th Ave. New York, NY 10019",(212) 228-3030,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/25/2020,Temporary Plant Layoff,Kuni's Corporation dba Ikinari Steak/Pepper Lunch (4 locations),"147 W. 35th Street New York, NY 10001",(646) 692-9301,Restaurant,75,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,TC Jeep Inc.,"3156 Hempstead Turnpike Levittown, NY 11756",-----,Auto Sales,42,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,Romeo Chevrolet Buick GMC,"1655 Ulster Avenue Lake Katrine, NY 12449",(518) 796-8426,Auto Sales,39,74,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,Romeo Ford of Kingston,"128 Route 28 Kingston, NY 12401",(518) 796-8426,Auto Sales,32,67,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"Ro-Zap Enterprises, Inc. dba Carriage Traders","170 Saratoga Ave. South Glens Falls, NY 12803",(518) 796-8426,Auto Sales,59,80,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/1/2020,Temporary Plant Layoff,"DSM California, LLC and Foroz Associates, LLC  dba Holiday Inn","Buffalo International Airport 4600 Genesse Street Cheektowaga, NY 14225",(716) 634-6969,Hotel,57,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/2/2020,Temporary Plant Layoff,AMETEK Rotron,"55 Hasbrouck Lane Woodstock, NY 12498",(516) 227-4409,Manufacturer,268,-----,4/2/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Layoff,Rockaway Hunting Club,"615 Ocean Avenue Lawrence, NY 11559",(516) 569-0613,Hunting Club,34,-----,4/5/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Closing,In Good Company HG Inc.,"417 5th Avenue New York, NY 10018",(646) 498-4247,Catering,28,28,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/3/2020,Temporary Plant Layoff,"Reliant Services Group, LLC dba Reliant Funding","6901 Jericho Turnpike, #218 Syosset, NY 11791",(585) 249-7265,Financial Institution,18,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"Borenstein Caterers, Inc.","179-29 150th Rd Jamaica, NY 11434",(718) 656-3600 Ext,Catering,33,-----,-----,Unforeseeable business circumstances prompted by COVID-19,UNITE HERE Local 100,Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,A&M (2015) LLC dba Mandee and Urban Plant,"Manhattan Mall, 901 6th Avenue, Unit 185 New York, NY 10001",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant  Closing,A&M (2015) LLC dba Mandee (10 Long Island locations),"3539 Long Beach Road Oceanside, NY 11572",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,A&M (2015) LLC dba Mandee,"Arcadian Shopping Center, 240 South Highland Ave. Ossining, NY 10562",(416) 789-1071 Ext,Retail,-----,-----,-----,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Layoff,"FBJ 74, LLC dba Coche Comedor Restaurant","74 Montauk Highway, Building A Amagansett, NY 11930",(631) 324-0068,Restaurant,20,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/20/2020,Temporary Plant Layoff,"Townline BBQ, LLC","3593 Montauk Highway Sagaponack, NY 11962",(631) 324-0068,Restaurant,11,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/20/2020,Temporary Plant Layoff,"What Do You Want To Eat, Inc. dba Rowdy Hall","10 Main Street East Hampton, NY 11937",(631) 324-0068,Restaurant,28,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Layoff,"Ide Volkswagen, Inc. dba Ide Volkswagen","333 North Washington Street East Rochester, NY 14445",(585) 586-2820,Auto Dealership,19,-----,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"Wilbur International, Inc.","50 Cabot Court Hauppauge, NY 11788",(631) 951-9800,Marketing,99,-----,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,"Stellar Printing, Inc.","38-39 9th Street Long Island City, NY 11101",(718) 361-1600 Ext,Commercial Printing,121,-----,7/12/2020,Sale of Business,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Layoff,"Ide Pontiac, Inc. dba Ide Honda (3 locations)","875 Panorama Trail South Rochester, NY 14625",(585) 586-2820,Auto Dealership,63,-----,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Closing,"125 W. 44 Restaurant Associates, LLC dba Hunt & Fish Club","125 W. 44th Street New York, NY 10036",(917) 371-1284,Restaurant,73,73,3/12/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/6/2020,Temporary Plant Layoff,ClearVision Optical Company Inc.,"425 Robro Drive, Suite 2 Hauppauge, NY 11788",(631) 787-1741,Optical Retailer,61,-----,4/7/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/2/2020,Temporary Plant Layoff,KHRG Muse LLC dba The Muse Hotel,"130 W. 46th Street New York, NY 10036",(415) 733-9657,Hotel,101,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/7/2020,Temporary Plant Layoff,NoHo Hospitality LLC,"520 Broadway, 10th Floor New York, NY 10012",(646) 442-7856,Restaurant,37,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,Temporary Plant Layoff,Hunter Mountain Ski Bowl Inc.,"64 Klein Avenue Hunter, NY 12442",(802) 228-1974,Ski Resort,47,-----,4/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,Temporary Plant Layoff,"W Services Group, LLC","500 Wheeler Road Hauppauge, NY 11788",(631) 651-5945,Cleaning and Flooring,35,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/19/2020,Temporary Plant Layoff,Spotted Dog Ventures LLC dba Emerson Resort & Spa,"5340 Route 28 Mount Tremper, NY 12457",(845) 688-2828 Ext,Hotel,147,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,Fairview USA Inc.,"3777 Commerce Court Wheatfield, NY 14120",(716) 614-0320,Hydraulic Repair Service,13,-----,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
